ClienteID,Genero,Idoso,Casado,Dependentes,Tempo_como_Cliente,Servico_Telefonia,Servico_Internet,Servico_Seguranca,Suporte_Tecnico,StreamingTV,Tipo_Contrato,Metodo_Pagamento,Pagamento_Mensal,Total_Pago,Churn
7590-VHVEG,female,0,Yes,No,1,No,dsl,No,No,No,Month-to-month,Electronic check,29.85,29.85,0
5575-GNVDE,male,0,No,No,34,Yes,dsl,Yes,No,No,One year,Mailed check,56.95,1889.5,0
3668-QPYBK,male,0,No,No,2,Yes,dsl,Yes,No,No,Month-to-month,Mailed check,53.85,108.15,1
7795-CFOCW,male,0,No,No,45,No,dsl,Yes,Yes,No,One year,Bank transfer (automatic),65.60756321839081,1840.75,0
8191-XWSZG,female,0,No,No,52,Yes,no,No,No,No,One year,Mailed check,65.60756321839081,1022.95,0
9959-WOFKT,male,0,No,Yes,71,Yes,fiber optic,Yes,No,Yes,Two year,Bank transfer (automatic),65.60756321839081,7382.25,0
4190-MFLUW,female,0,Yes,Yes,10,Yes,dsl,No,Yes,No,Month-to-month,Credit card (automatic),65.60756321839081,528.35,1
4183-MYFRB,female,0,No,No,21,Yes,fiber optic,No,No,No,Month-to-month,Electronic check,65.60756321839081,1862.9,0
8779-QRDMV,male,1,No,No,1,No,dsl,No,No,No,Month-to-month,Electronic check,65.60756321839081,39.65,1
1680-VDCWW,male,0,Yes,No,12,Yes,no,No,No,No,One year,Bank transfer (automatic),65.60756321839081,202.25,0
1066-JKSGK,male,0,No,No,1,Yes,no,No,No,No,Month-to-month,Mailed check,65.60756321839081,20.15,1
3638-WEABW,female,0,Yes,No,58,Yes,dsl,No,Yes,No,Two year,Credit card (automatic),65.60756321839081,3505.1,0
6322-HRPFA,male,0,Yes,Yes,49,Yes,dsl,Yes,Yes,No,Month-to-month,Credit card (automatic),65.60756321839081,2970.3,0
6865-JZNKO,female,0,No,No,30,Yes,dsl,Yes,No,No,Month-to-month,Bank transfer (automatic),65.60756321839081,1530.6,0
6467-CHFZW,male,0,Yes,Yes,47,Yes,fiber optic,No,No,Yes,Month-to-month,Electronic check,65.60756321839081,4749.15,1
8665-UTDHZ,male,0,Yes,Yes,1,No,dsl,No,No,No,Month-to-month,Electronic check,65.60756321839081,30.2,1
5248-YGIJN,male,0,Yes,No,72,Yes,dsl,Yes,Yes,Yes,Two year,Credit card (automatic),65.60756321839081,6369.45,0
8773-HHUOZ,female,0,No,Yes,17,Yes,dsl,No,No,Yes,Month-to-month,Mailed check,65.60756321839081,1093.1,1
3841-NFECX,female,1,Yes,No,71,Yes,fiber optic,Yes,Yes,No,Two year,Credit card (automatic),65.60756321839081,6766.95,0
4929-XIHVW,male,1,Yes,No,2,Yes,fiber optic,No,No,Yes,Month-to-month,Credit card (automatic),65.60756321839081,181.65,0
6827-IEAUQ,female,0,Yes,Yes,27,Yes,dsl,Yes,Yes,No,One year,Mailed check,65.60756321839081,1874.45,0
7310-EGVHZ,male,0,No,No,1,Yes,no,No,No,No,Month-to-month,Bank transfer (automatic),65.60756321839081,20.2,0
3413-BMNZE,male,1,No,No,1,Yes,dsl,No,No,No,Month-to-month,Bank transfer (automatic),65.60756321839081,45.25,0
6234-RAAPL,female,0,Yes,Yes,72,Yes,fiber optic,Yes,Yes,Yes,Two year,Bank transfer (automatic),65.60756321839081,7251.7,0
6047-YHPVI,male,0,No,No,5,Yes,fiber optic,No,No,No,Month-to-month,Electronic check,65.60756321839081,316.9,1
6572-ADKRS,female,0,No,No,46,Yes,fiber optic,No,No,No,Month-to-month,Credit card (automatic),65.60756321839081,3548.3,0
5380-WJKOV,male,0,No,No,34,Yes,fiber optic,No,No,Yes,Month-to-month,Electronic check,65.60756321839081,3549.25,1
8168-UQWWF,female,0,No,No,11,Yes,fiber optic,No,No,Yes,Month-to-month,Bank transfer (automatic),65.60756321839081,1105.4,1
8865-TNMNX,male,0,Yes,Yes,10,Yes,dsl,No,No,No,One year,Mailed check,65.60756321839081,475.7,0
9489-DEDVP,female,0,Yes,Yes,70,Yes,dsl,Yes,No,Yes,Two year,Credit card (automatic),65.60756321839081,4872.35,0
9867-JCZSP,female,0,Yes,Yes,17,Yes,no,No,No,No,One year,Mailed check,65.60756321839081,418.25,0
4671-VJLCL,female,0,No,No,63,Yes,dsl,Yes,Yes,Yes,Two year,Credit card (automatic),65.60756321839081,4861.45,0
